"Term","Categorie","Uitleg"
"Cookie","Meten en data","Een klein bestandje dat een site op je apparaat zet om je te herkennen of te volgen."
"Copywriting","Content","Het schrijven van wervende teksten die mensen aanzetten tot actie."
"CPA","Adverteren","Wat een gewenste actie je kost, zoals een aankoop of aanmelding (kosten per actie)."
"CPC","Adverteren","Wat een klik op je advertentie gemiddeld kost (kosten per klik)."
"CPL","Adverteren","Wat een lead je kost (kosten per lead)."
"CPM","Adverteren","Wat 1.000 vertoningen van je advertentie kosten (kosten per duizend)."
"Crawler","Gevonden worden","Een programma van Google dat het web afstruint en pagina's leest, zodat ze in de zoekresultaten kunnen komen (bot)."
"Creative","Adverteren","Het beeld, de video of de tekst van je advertentie (advertentiemateriaal)."
"CRO","Website en conversie","Je website zo verbeteren dat meer bezoekers ook echt iets doen (conversie-optimalisatie)."
"Cross-selling","Klanten en doelgroep","Een klant een aanvullend product aanbieden, zoals een hoesje bij een telefoon."
"CTA","Website en conversie","De actieknop of zin die de bezoeker aanspoort iets te doen, zoals Vraag offerte aan (call to action)."
"CTR","Adverteren","Het percentage mensen dat klikt nadat ze je advertentie of link zagen (doorklikratio)."
"Custom audience","Adverteren","Een groep die je zelf samenstelt, bijvoorbeeld je bestaande klanten of websitebezoekers."
"Dashboard","Meten en data","Een overzicht waarop je je belangrijkste cijfers in een blik ziet."
"Deliverability","E-mail","De kans dat je mail echt in de inbox belandt en niet in spam (bezorgbaarheid)."
"Direct verkeer","Meten en data","Bezoekers die je adres rechtstreeks intypen of via een bladwijzer komen (direct traffic)."
"Display advertising","Adverteren","Advertenties met beeld op websites en apps, zoals banners."
"Doelgroep","Klanten en doelgroep","De groep mensen die je probeert te bereiken, bijvoorbeeld hardlopers met knieklachten."
"Domeinautoriteit","Gevonden worden","Een inschatting van hoe sterk en betrouwbaar je website is in de ogen van Google."
"Dynamische advertentie","Adverteren","Een advertentie die zich automatisch aanpast aan de bezoeker, bijvoorbeeld met het product dat hij net bekeek (DPA)."
"Earned media","Algemeen","Aandacht die je niet koopt maar verdient, zoals een vermelding in de pers of een spontane deling."
"Engagement","Social media","Hoeveel mensen reageren op je post met een like, reactie of deling (betrokkenheid)."
"Engagement rate","Social media","Het percentage van je volgers of bereik dat reageert op een post."
"Event","Meten en data","Een actie die je meet, zoals een klik op een knop of het versturen van een formulier."
"Evergreen content","Content","Content die lang relevant blijft en niet snel veroudert."
"Featured snippet","Gevonden worden","Het uitgelichte antwoordblok bovenaan Google, boven de gewone resultaten."
"Feed","Social media","De stroom van berichten die je ziet als je een social-app opent."
"First-party data","Meten en data","Gegevens die je zelf rechtstreeks van je klanten verzamelt. Betrouwbaar en van jou."
"Formulier","Website en conversie","Het invulveld waarmee bezoekers contact opnemen of zich aanmelden. Een belangrijk meetpunt."
"Frequency cap","Adverteren","Een limiet op hoe vaak iemand dezelfde advertentie te zien krijgt."
"Frequentie","Adverteren","Hoe vaak gemiddeld dezelfde persoon je advertentie te zien krijgt."
"Funnel","Klanten en doelgroep","De klantreis als een trechter. Bovenin veel mensen die je net leren kennen, onderin de paar die kopen."
"Gated content","Content","Content die je pas krijgt nadat je je gegevens hebt achtergelaten."
"Gemiddelde orderwaarde","Meten en data","Wat een klant gemiddeld per bestelling uitgeeft (AOV, average order value)."
"Generatieve AI","AI","AI die zelf nieuwe dingen maakt, zoals teksten, beelden of video's."
"GEO","Gevonden worden","Zorgen dat je genoemd wordt in antwoorden van AI zoals ChatGPT en Google AI. De nieuwe vorm van vindbaarheid."
"Geotargeting","Adverteren","Je advertenties of content richten op mensen in een bepaald gebied."
"Google Analytics","Meten en data","Gratis tool van Google die laat zien hoeveel mensen je site bezoeken en wat ze doen (nieuwste versie heet GA4)."
"Google Search Console","Meten en data","Gratis tool van Google die laat zien op welke zoekwoorden je gevonden wordt."
"Google Tag Manager","Meten en data","Een schakelpaneel waarmee je meetcodes op je site beheert zonder steeds een developer nodig te hebben."
"Hallucinatie","AI","Wanneer AI iets verzint dat klopt lijkt maar onwaar is. Reden om output altijd te controleren."
"Hard bounce","E-mail","Een mail die definitief niet aankomt, meestal door een ongeldig adres."
"Hashtag","Social media","Een woord met een hekje ervoor (#) waarmee posts over hetzelfde onderwerp vindbaar worden."
"Heatmap","Website en conversie","Een kleurenkaart die laat zien waar bezoekers klikken en hoe ver ze scrollen."
"Herhaalaankopen","Klanten en doelgroep","Het percentage klanten dat meer dan een keer bij je koopt (repeat purchase rate)."
"How-to","Content","Een stap-voor-stap uitleg die laat zien hoe je iets doet."
"Impressie","Adverteren","Een keer dat je advertentie aan iemand getoond wordt (vertoning)."
"Impressieaandeel","Adverteren","Welk deel van alle mogelijke vertoningen jouw advertentie kreeg (impression share)."
"Inbound marketing","Algemeen","Klanten naar je toe laten komen met nuttige content, in plaats van ze actief te benaderen."
"Indexeren","Gevonden worden","Een pagina opnemen in de database van Google, zodat hij in de zoekresultaten kan verschijnen."
"Influencer","Social media","Iemand met veel volgers die jouw product onder de aandacht brengt."
"Klantcase","Content","Een verhaal over hoe een klant met jouw product of dienst geholpen is (case study)."
"Klantreis","Klanten en doelgroep","De route die iemand aflegt van je nog niet kennen tot tevreden klant (customer journey)."
"Klikpad","Meten en data","De route die een bezoeker over je site aflegt, van pagina naar pagina (clickpath)."
"Koude acquisitie","Klanten en doelgroep","Mensen of bedrijven benaderen die je nog niet kennen, bijvoorbeeld met een mailtje of belletje (cold outreach)."
"KPI","Algemeen","Een cijfer waarop je je voortgang afmeet, bijvoorbeeld aantal bezoekers of aanvragen."
"Landingspagina","Website en conversie","De pagina waar iemand binnenkomt na een klik op een advertentie of link, gericht op een doel."
"Lead","Klanten en doelgroep","Iemand die interesse toont en z'n gegevens achterlaat. Nog geen klant, wel een warm contact."
"Lead magnet","Content","Een gratis weggever, zoals een checklist of e-book, in ruil voor iemands gegevens."
"Lead nurturing","Klanten en doelgroep","Een lead langzaam opwarmen met nuttige informatie tot hij klaar is om te kopen."
"Lead scoring","Klanten en doelgroep","Leads punten geven op basis van hun gedrag, zodat je ziet wie het meest kansrijk is."
"Leerfase","Adverteren","De eerste periode waarin een advertentieplatform nog uitzoekt wat werkt, voordat het stabiel draait."
"Linkbuilding","Gevonden worden","Actief zorgen dat andere sites naar jou linken, om sterker te staan in Google."
"LLM","AI","Het soort AI achter ChatGPT, getraind op heel veel tekst om taal te begrijpen en te maken (taalmodel)."
"llms.txt","Gevonden worden","Een bestandje op je site dat aan AI-modellen uitlegt wat je aanbiedt, zodat ze je beter begrijpen."
"Local SEO","Gevonden worden","Gevonden worden bij zoekopdrachten in je eigen regio, zoals fysiotherapeut Breda."
"Long-tail keyword","Gevonden worden","Een langer, specifieker zoekwoord zoals kniebrace voor hardlopen. Minder zoekers, maar heel gericht."
"Lookalike audience","Adverteren","Een groep nieuwe mensen die lijkt op je beste klanten, samengesteld door het advertentieplatform."
"LTV","Klanten en doelgroep","Wat een klant gemiddeld oplevert over de hele tijd dat hij klant blijft (klantwaarde)."
"Mailreeks","E-mail","Een serie mails die na elkaar verstuurd wordt om iemand op te warmen (drip campaign)."
"Marge","Algemeen","Wat er per verkoop overblijft nadat je de kosten eraf haalt."
"Marketing","Algemeen","Alles wat je doet om klanten te bereiken, te interesseren en te behouden. Van een post tot een advertentie tot een mailtje."
"Marktsegment","Algemeen","Een groep klanten met dezelfde kenmerken of wensen, die je apart kunt benaderen."
"MER","Adverteren","Je totale omzet gedeeld door je totale advertentie-uitgaven, over alle kanalen heen (marketing efficiency ratio)."
"Meta description","Gevonden worden","Het korte tekstje onder de titel in Google, dat samenvat waar de pagina over gaat."
"Meta Pixel","Meten en data","Een klein stukje code dat bijhoudt wat bezoekers doen, zodat je je Facebook- en Instagram-advertenties kunt meten."
"Meta title","Gevonden worden","De klikbare blauwe titel van je pagina in Google. Het eerste dat mensen zien."
"Microconversie","Klanten en doelgroep","Een kleine tussenstap richting de aankoop, zoals een aanmelding of iets toevoegen aan favorieten."
"Mobile-first","Website en conversie","Je site eerst voor de telefoon ontwerpen, omdat de meeste mensen daarop kijken."
"MQL","Klanten en doelgroep","Een lead die volgens je marketing rijp genoeg is om door sales benaderd te worden (marketing qualified lead)."
"Native advertising","Adverteren","Advertenties die eruitzien als gewone content en passen bij de omgeving waarin ze staan."
"Nieuw versus terugkerend","Meten en data","De verhouding tussen bezoekers die voor het eerst komen en die terugkomen."
"Nieuwsbrief","E-mail","Een mail die je regelmatig stuurt aan mensen die zich hebben aangemeld."
"NPS","Algemeen","Een cijfer voor klanttevredenheid, gebaseerd op de vraag of mensen je zouden aanbevelen (net promoter score)."
"Omnichannel","Algemeen","Al je kanalen op elkaar afstemmen, zodat de klant overal dezelfde ervaring heeft."
"Omzet","Meten en data","Het totale bedrag dat je binnenhaalt met je verkopen, voor kosten."
"Onboarding","Klanten en doelgroep","De eerste stappen waarmee je een nieuwe klant op weg helpt, zodat hij snel waarde ervaart."
"Open rate","E-mail","Het percentage ontvangers dat je mail opent (openingsratio)."
"Opt-in","E-mail","Iemand die actief toestemming geeft om mails van je te ontvangen."
"Organisch bereik","Social media","Hoeveel mensen je post zien zonder dat je ervoor betaalt."
"Organisch verkeer","Gevonden worden","Bezoekers die via de gewone, onbetaalde zoekresultaten op je site komen."
"Outbound marketing","Algemeen","Zelf actief mensen benaderen met je boodschap, bijvoorbeeld via advertenties of koude mail."
"Owned media","Algemeen","De kanalen die je zelf bezit, zoals je website, nieuwsbrief en social-accounts."
"Pageview","Meten en data","Een keer dat een pagina bekeken wordt (paginaweergave)."
"Paid media","Algemeen","Aandacht waar je voor betaalt, zoals advertenties."
"Persona","Klanten en doelgroep","Een uitgewerkte voorbeeldklant met naam, leeftijd en wensen, zodat je je beter kunt inleven."
"Pillar page","Content","Een uitgebreide hoofdpagina over een groot onderwerp, met links naar kleinere pagina's eronder."
"Pipeline","Klanten en doelgroep","Het overzicht van alle mogelijke deals en in welke fase ze zitten (verkooppijplijn)."
"Pitch","Algemeen","Een korte, overtuigende uitleg van wat je aanbiedt en waarom het de moeite waard is."
"POAS","Adverteren","Hoeveel winst je overhoudt per euro advertentiegeld, in plaats van omzet zoals bij ROAS (profit on ad spend)."
"Positionering","Algemeen","De plek die je in het hoofd van de klant wil innemen. Waar sta je voor, en waarin verschil je van de rest."
"PPC","Adverteren","Adverteren waarbij je per klik betaalt, niet per vertoning (pay per click)."
"Programmatic advertising","Adverteren","Advertentieruimte automatisch en in een fractie van een seconde inkopen via software."
"Prompt","AI","De opdracht of vraag die je aan een AI geeft."
"Prospect","Klanten en doelgroep","Een mogelijke klant die in beeld is, maar nog niets heeft gekocht."
"Push notificatie","Website en conversie","Een kort berichtje dat op iemands telefoon of scherm verschijnt vanuit een app of site."
"Quality Score","Adverteren","Een cijfer van Google voor hoe goed je advertentie en pagina aansluiten op de zoekopdracht. Hoger is goedkoper."
"Reel","Social media","Een korte, verticale video, populair op Instagram en Facebook."
"Responsive","Website en conversie","Een site die zich automatisch aanpast aan elk schermformaat, van telefoon tot laptop."
"Retargeting","Adverteren","Advertenties tonen aan mensen die je site al bezochten maar nog niets deden (ook remarketing)."
"Retentie","Klanten en doelgroep","Klanten vasthouden zodat ze terugkomen, in plaats van steeds nieuwe te moeten zoeken."
"Retentiegraad","Klanten en doelgroep","Het percentage klanten dat na verloop van tijd nog klant is (retention rate)."
"Retourpercentage","Meten en data","Het deel van de verkochte producten dat wordt teruggestuurd (return rate)."
"ROAS","Adverteren","Hoeveel je terugverdient per euro advertentiegeld. Geef je 100 euro uit en verkoop je voor 400 euro, dan is je ROAS 4."
"ROI","Algemeen","Wat je overhoudt aan een investering. Stop je er 100 euro in en levert het 150 euro op, dan is je rendement positief."
"Scroldiepte","Website en conversie","Hoe ver bezoekers gemiddeld naar beneden scrollen op een pagina (scroll depth)."
"SEA","Gevonden worden","Betaalde advertenties bovenaan in de zoekresultaten van Google (zoekmachineadverteren)."
"Segmentatie","E-mail","Je lijst opdelen in groepen, zodat je gerichtere mails kunt sturen."
"SEM","Gevonden worden","Adverteren in zoekmachines, vaak gebruikt als verzamelterm voor betaald zoeken (search engine marketing)."
"Sentiment","Social media","De toon van wat mensen online over je zeggen: positief, neutraal of negatief."
"SEO","Gevonden worden","Zorgen dat je gevonden wordt in Google zonder te betalen, door je teksten te laten aansluiten op wat mensen zoeken."
"SERP","Gevonden worden","De resultatenpagina van Google, met alle links na een zoekopdracht (zoekresultatenpagina)."
"Sessie","Meten en data","Een bezoek aan je site, van binnenkomst tot vertrek."
"Share of voice","Algemeen","Hoeveel van alle aandacht in jouw markt naar jouw merk gaat, vergeleken met concurrenten."
"Sitemap","Gevonden worden","Een lijst van alle pagina's op je site, die je aan Google geeft zodat het niets mist."
"Slogan","Algemeen","Een kort, pakkend zinnetje dat voor je merk staat (ook tagline)."
"Social proof","Klanten en doelgroep","Bewijs van anderen dat je te vertrouwen bent, zoals reviews, klantlogo's of testimonials."
"Soft bounce","E-mail","Een mail die tijdelijk niet aankomt, bijvoorbeeld door een volle inbox."
"Sponsored post","Adverteren","Een betaalde post die je laat plaatsen of zelf promoot."
"SQL","Klanten en doelgroep","Een lead die sales de moeite waard vindt om actief achteraan te gaan (sales qualified lead)."
"Story","Social media","Een beeld of video die na 24 uur weer verdwijnt."
"Storytelling","Content","Je boodschap verpakken in een verhaal, zodat het beter blijft hangen."
"Tag","Meten en data","Een stukje meetcode dat je op je site plaatst, bijvoorbeeld voor Analytics of de Pixel."
"Targeting","Adverteren","Bepalen aan wie je advertentie wordt getoond, op basis van bijvoorbeeld leeftijd, plek of interesse."
"Terugverdientijd","Algemeen","Hoelang het duurt voordat een investering zichzelf heeft terugverdiend (payback period)."
"Testimonial","Klanten en doelgroep","Een aanbeveling van een tevreden klant, vaak met naam en foto, die anderen vertrouwen geeft."
"Third-party cookie","Meten en data","Een volgcookie van een ander bedrijf. Verdwijnt steeds meer door privacyregels."
"ToFu, MoFu, BoFu","Klanten en doelgroep","De top, het midden en de onderkant van de funnel: van net kennismaken tot bijna kopen."
"Tone of voice","Algemeen","De manier waarop je praat en schrijft. Formeel of juist losjes, deftig of gewoon."
"Touchpoint","Klanten en doelgroep","Een moment waarop iemand met je bedrijf in aanraking komt, zoals een advertentie, je site of een mailtje."
"UGC","Social media","Content die je klanten zelf maken, zoals een foto met jouw product (content van gebruikers)."
"Unieke bezoeker","Meten en data","Een persoon die je site bekijkt, geteld als een, ook al komt hij vaker langs."
"Unsubscribe","E-mail","Iemand die zich afmeldt voor je nieuwsbrief (afmelding)."
"Upselling","Klanten en doelgroep","Een klant een duurdere of uitgebreidere versie aanbieden dan hij van plan was."
"USP","Algemeen","Je sterkste verkoopargument: het ene ding waarom iemand voor jou kiest en niet voor een ander."
"UTM-tag","Meten en data","Een stukje dat je aan een link plakt, zodat je in Analytics ziet waar een bezoeker vandaan kwam."
"UX","Website en conversie","Hoe prettig en logisch je site werkt voor de bezoeker (gebruikerservaring)."
"Verkeersbron","Meten en data","De plek waar je bezoekers vandaan komen, zoals Google, social of een nieuwsbrief."
"Verlaten winkelmandje","Website en conversie","Wanneer iemand producten in z'n mandje legt maar de aankoop niet afmaakt (cart abandonment)."
"Verlatingspercentage","Website en conversie","Het percentage mensen dat producten in het mandje legt maar niet afrekent (cart abandonment rate)."
"Verwijzend verkeer","Meten en data","Bezoekers die via een link op een andere site bij jou komen (referral traffic)."
"View-through conversie","Adverteren","Een aankoop van iemand die je advertentie wel zag maar er niet op klikte."
"Vindbaarheid","Gevonden worden","Hoe makkelijk mensen je vinden via zoekmachines en AI."
"Viral","Social media","Wanneer iets zich razendsnel verspreidt doordat mensen het massaal delen (viraal)."
"Vlog","Social media","Een blog in videovorm."
"Volgers","Social media","De mensen die je account volgen en je posts in beeld krijgen (followers)."
"Voltooiingspercentage","Meten en data","Het percentage mensen dat iets afmaakt, zoals een video of een formulier (completion rate)."
"Webinar","Content","Een online presentatie of seminar, vaak live, om kennis te delen en leads te verzamelen."
"White label","Algemeen","Een product of dienst die je onder je eigen merknaam aanbiedt, maar door iemand anders is gemaakt."
"Whitepaper","Content","Een diepgaander document over een onderwerp, vaak in ruil voor iemands gegevens."
"Win rate","Klanten en doelgroep","Het percentage offertes of deals dat je daadwerkelijk wint."
"Zichtbaarheid","Gevonden worden","In hoeverre je opvalt en gezien wordt door je doelgroep."
"Zoekintentie","Gevonden worden","Wat iemand echt wil achter een zoekopdracht: informatie zoeken, vergelijken of kopen (search intent)."
"Zoekmachine","Gevonden worden","Een site als Google waarmee mensen informatie en bedrijven vinden."
"Zoekopdracht","Gevonden worden","De woorden die iemand intypt in een zoekmachine (query)."
"Zoekvolume","Gevonden worden","Hoe vaak een zoekwoord per maand wordt ingetypt. Geeft aan hoeveel vraag er is."
"Zoekwoord","Gevonden worden","Het woord of zinnetje dat iemand intypt in Google, bijvoorbeeld kniebrace kopen (keyword)."
